name,official_url,official_shopping_url
PILOT（パイロット）,https://www.pilot.co.jp/,
SAILOR（セーラー万年筆）,https://sailor.co.jp/,https://sailorshop.jp/
プラチナ万年筆,https://www.platinum-pen.co.jp/,
ナガサワ文具センター,https://kobe-nagasawa.co.jp/,https://www.nagasawa-shop.jp/
Pelikan（ペリカン）,https://www.pelikan-passion.com/ja/,
J.HERBIN（エルバン）,https://www.jherbin.com/index.html,https://www.shop.quovadis.co.jp/SHOP/196086/196091/list.html
DE ATRAMENTIS by Jansen（ヤンセン）,https://www.de-atramentis.com/en/,
ROHRER & KLINGNER（ローラー＆クライナー）,https://www.rohrer-klingner.de/en/en_home/,
Diamine（ダイアミン）,https://www.diamineinks.co.uk/,
Caran d'Ache(カランダッシュ),https://www.carandache.com/jp/ja/,https://www.carandache.com/jp/ja/
Kaweco（カヴェコ）,https://www.kaweco-pen.com/,
LAMY（ラミー）,https://www.lamy.com/ja-jp,https://www.lamy.com/ja-jp
MONTBLANC（モンブラン）,https://www.montblanc.com/ja-jp,https://www.montblanc.com/ja-jp
SHEAFFER（シェーファー）,https://sheaffer.com/,
WATERMAN（ウォーターマン）,https://www.waterman-japan.jp/,
FERRIS WHEEL PRESS（フェリスホイールプレス）,https://ferriswheelpress.com/,
藍濃道具屋,https://and-story.jp/,https://and-story.jp/collections/%E8%97%8D%E6%BF%83%E9%81%93%E5%85%B7%E5%B1%8B/%E3%82%A4%E3%83%B3%E3%82%AF
石丸文行堂,https://www.ishimaru-bun.co.jp/,https://ishimarubun.shop-pro.jp/
PENTONOTE（ペントノート）,https://pentonotelife.com/,https://pentonotelife.com/
文具館コバヤシ,https://www.kobabun.net/,https://kobabun.shop-pro.jp/
大丸藤井セントラル,https://www.daimarufujii-central.com/,https://www.df-central-store.com/st/
Pent（世界の筆記具ペンハウス）,https://www.pen-house.net/,https://www.pen-house.net/
TACCIA（タッチア）,https://taccia.jp/,https://www.nakabayashi.co.jp/product/category/25/01/
尚貴堂 shokido,https://www.sho-kido.com/,
Studio Nine,https://www.kalaink.com/kalaink_en/,
寺西化学工業株式会社,https://guitar-mg.co.jp/,
KA-KU（カーク大阪）,https://ka-ku.jp/,https://ka-ku.jp/
筆屋(ぺんや),https://forme-zakka.com/,https://forme-zakka.com/collections/penya
文具館タキザワ,https://www.takiprit.com/bungukan/,https://bungukan-takizawa.com/
編吟革盤舎／ペンギンカバンシャ,https://penguin.base.ec/,https://penguin.base.ec/